Name,Genre
Need for Speed Rivals,Racing
Total War: Attila,Strategy
Hitman: Absolution,Action
Tom Clancys Rainbow Six: Siege,Shooter
Homefront,Shooter
BioShock 2,Shooter
Metro 2033,Shooter
Angry Birds,Puzzle
DC Universe Online,Role-Playing
Spec Ops: The Line,Shooter
Star Wars: Battlefront,Shooter
Risen 2: Dark Waters,Role-Playing
Assassins Creed Syndicate,Action
Call of Duty: Infinite Warfare,Shooter
LEGO Harry Potter: Years 5-7,Action
Far Cry: Primal,Action
LEGO The Lord of the Rings,Action
Dying Light,Action
Dead Island,Action
FIFA 16,Sports
Defiance,Shooter
EVE Online,Role-Playing
"Warhammer 40,000: Space Marine",Shooter
Two Worlds II,Role-Playing
Total War: Shogun 2 - Fall of the Samurai,Strategy
Tom Clancys Splinter Cell: Blacklist,Action
Shutter Island,Adventure
Dead Space 3,Action
Test Drive Unlimited 2,Racing
Aliens vs Predator,Shooter
Evolve,Shooter
The Sims 4: City Living,Simulation
Supreme Commander 2,Strategy
The Lord of the Rings: War in the North,Action
South Park: The Stick of Truth,Role-Playing
NBA 2K11,Action
Metro: Last Light,Action
Driver: San Francisco,Racing
Need for Speed: Shift 2 Unleashed,Racing
F1 2011,Racing
Saints Row IV,Action
Arcania: Gothic 4,Role-Playing
Call of Duty: World at War,Shooter
Dishonored 2,Action
Company of Heroes: Anthology,Strategy
Dark Souls II,Role-Playing
Aliens: Colonial Marines,Shooter
FIFA Soccer 11,Sports
Borderlands,Shooter
Brink,Shooter
Dungeon Siege III,Role-Playing
The Secret World,Role-Playing
Tom Clancys Ghost Recon: Future Soldier,Shooter
Age of Empires III: Complete Collection,Strategy
Monkey Island: Special Edition Collection,Adventure
Star Wars: Battlefront II,Shooter
LEGO Marvel Super Heroes,Action
Total War: WARHAMMER,Strategy
Football Manager 2017,Simulation
Sid Meiers Civilization IV,Strategy
Stronghold 3,Strategy
The Crew,Racing
The Sims 3: Seasons,Simulation
NBA 2K12,Sports
Bulletstorm,Shooter
Wildstar,Role-Playing
Sniper: Ghost Warrior,Shooter
F.E.A.R. 3,Shooter
Darksiders II,Action
DiRT 3,Racing
FIFA 17,Sports
The Sims Medieval: Pirates and Nobles,Simulation
Darksiders,Action
Deponia,Adventure
Just Cause 3,Action
Terraria,Action
F1 2012,Racing
Alien: Isolation,Shooter
Cities: Skylines,Simulation
ArmA II,Shooter
The Orange Box,Shooter
Star Wars: Knights of the Old Republic,Role-Playing
Battlefield: Hardline,Shooter
Risen,Role-Playing
The Darkness II,Shooter
Age of Empires: Collectors Edition,Strategy
Dragon Age: Origins - Ultimate Edition,Role-Playing
Warcraft III: Reign of Chaos,Strategy
Dead Rising 2,Action
Battleborn,Shooter
Diablo II,Role-Playing
Batman: Arkham Knight,Action
Red Orchestra 2: Heroes of Stalingrad,Shooter
Rise of the Tomb Raider,Adventure
Titanfall 2,Shooter
Dragon Age Origins: Awakening,Role-Playing
Project CARS,Racing
Euro Truck Simulator 2,Action
The Stronghold Collection,Strategy
Street Fighter IV,Fighting
Farming Simulator 2011,Simulation
Rocksmith,Misc
Just Cause 2,Action
Sleeping Dogs,Action
Tropico 5,Simulation
18 Wheels of Steel: Extreme Trucker 2,Racing
Minecraft: Story Mode,Adventure
Alice: Madness Returns,Adventure
Call of Juarez: The Cartel,Shooter
Darkspore,Role-Playing
