Name,Genre
Total War Attila: Tyrants & Kings,Strategy
The Incredibles: Rise of the Underminer,Action
Stronghold Legends,Strategy
The Dark Hills of Cherai,Puzzle
Joint Operations: Combined Arms,Shooter
Worms World Party,Strategy
Gears of War,Shooter
Post Mortem,Adventure
LEGO Star Wars II: The Original Trilogy,Action
The Sims 4: Luxury Party Stuff,Simulation
Star Trek: Legacy,Simulation
Wall-E,Platform
Majesty 2: The Fantasy Kingdom Sim,Simulation
Sniper Elite,Shooter
A Vampyre Story,Adventure
Syberia II,Adventure
Command & Conquer Collection,Strategy
Achtung Panzer: Kharkov 1943,Strategy
Majesty 2 Collection,Strategy
Enemy Territory: Quake Wars,Shooter
Tyranny,Role-Playing
Colin McRae Rally 2005,Racing
RollerCoaster Tycoon: Gold Edition,Strategy
FIFA Soccer 08,Sports
Legoland,Action
Command & Conquer 4: Tiberian Twilight,Strategy
Sherlock Holmes: The Devils Daughter,Adventure
Worldwide Soccer Manager 2006,Sports
Valentino Rossi: The Game,Racing
Fernbus Simulator,Simulation
DuckTales: Remastered,Action
Evil Genius,Strategy
Imperium Romanum,Strategy
Contrast,Platform
Turok,Action
Sengoku,Strategy
Ship Simulator 2008,Simulation
The Technomancer,Role-Playing
Rise of Flight: Iron Cross Edition,Simulation
Guild Wars: Factions,Role-Playing
War for the Overworld,Strategy
Coronation Street: The Mystery of the Missing Hotpot Recipe,Adventure
Cossacks 3,Strategy
Codename: Panzers Phase Two,Strategy
The Last Remnant,Role-Playing
Unreal Tournament 2003,Shooter
Call of Juarez,Shooter
Neverwinter Nights 2: Mask of the Betrayer,Role-Playing
Grand Theft Auto III,Action
Rayman Raving Rabbids,Misc
WRC: FIA World Rally Championship,Racing
Digger Simulator,Simulation
Impossible Creatures,Strategy
Football Manager Live,Sports
Blitzkrieg 2 Anthology,Strategy
Serious Sam II,Shooter
Theatre Of War,Strategy
IL-2 Sturmovik,Simulation
Virtua Tennis 3,Sports
Farming 2017 - The Simulation,Simulation
Dark Parables: The Exiled Prince,Puzzle
Brain Exercise With Dr. Kawashima,Puzzle
Homeworld Remastered Collection,Strategy
Football Manager 2005,Sports
BattleForge,Strategy
MXGP 2,Racing
Mystery Legends: Beauty and the Beast,Puzzle
Rail Simulator,Simulation
BlazBlue: Calamity Trigger,Fighting
Spider-Man: Friend or Foe,Action
Harry Potter and the Chamber of Secrets,Action
Jewel Quest II,Puzzle
Farming Simulator 15 Expansion Pack,Action
Marvel: Ultimate Alliance,Role-Playing
WRC 6,Racing
Battle Worlds: Kronos,Strategy
F.E.A.R. Perseus Mandate,Shooter
Deus Ex,Role-Playing
Tiger Woods PGA Tour 2005,Sports
Minds and Mystery: 5 Game Pack,Action
Sonic & All-Stars Racing Transformed,Racing
TimeShift,Shooter
Championship Manager 2010,Sports
The Chronicles of Riddick: Assault on Dark Athena,Shooter
Cities: Skylines Snowfall,Simulation
Conflict: Denied Ops,Shooter
FlatOut: Ultimate Carnage,Racing
Battlestations: Midway,Strategy
TrackMania Turbo,Action
Dungeons & Dragons: Neverwinter Nights - Complete,Misc
The Train Giant,Strategy
Inversion,Shooter
Monster Jam,Racing
Act of Aggression,Strategy
Fallout Anthology,Action
Gobliiins 4,Adventure
Command & Conquer Renegade,Shooter
Juiced 2: Hot Import Nights,Racing
Poker for Dummies,Misc
Rugby World Cup 2015,Sports
Colin McRae Rally 04,Racing
Tropico 3: Gold Edition,Strategy
Icewind Dale II,Role-Playing
Alone in the Dark,Adventure
Pro Evolution Soccer 2010,Sports
Clive Barkers Jericho,Shooter
Grand Prix Legends,Racing
Winning Eleven: Pro Evolution Soccer 2007,Sports
Madagascar: Escape 2 Africa,Action
Sega Rally Revo,Racing
Kings Bounty: Armored Princess,Role-Playing
Witch Hunters: Stolen Beauty,Action
Angels and Despair: 5 Game Pack,Misc
Transformers: Fall of Cybertron,Action
The Dwarves,Role-Playing
Codename: Panzers Complete Collection,Strategy
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",Shooter
Small Town Terrors - Galdors Bluff,Adventure
Trine,Action
Legacy of Kain: Defiance,Action
Deal or No Deal,Misc
Hospital Tycoon,Strategy
The Amazing Spider-Man 2 (2014),Action
The Treasures of Mystery Island 3 Pack - Save Mystery Island!,Puzzle
Metal Gear Solid V: Ground Zeroes,Action
Darkness and Sorrow: 5 Game Pack,Misc
Agatha Christie: Peril at End House,Adventure
The Rise of the Argonauts,Role-Playing
Summer Athletics,Sports
Driving Simulator 2011,Racing
Bookworm Deluxe,Puzzle
End of Nations,Strategy
Worms 2,Strategy
Pony Friends 2,Simulation
Breach,Shooter
STORM: Frontline Nation,Strategy
15 Days,Adventure
Myst IV: Revelation,Adventure
Hallowed Legends: Templar,Action
Patrician IV: Gold Edition,Misc
CSI: Hard Evidence,Adventure
Champions Online,Role-Playing
Dungeons & Dragons Anthology: The Master Collection,Misc
Damnation,Shooter
Wanted: Weapons of Fate,Shooter
Ori and the Blind Forest,Platform
Spore Galactic Adventures,Strategy
The Sims 2: Celebration Stuff,Simulation
Sherlock Holmes vs. Jack the Ripper,Adventure
Emperor: Rise of the Middle Kingdom,Strategy
Pro Evolution Soccer 2008,Sports
Gun,Shooter
Zoo Tycoon 2: Extinct Animals,Strategy
Necrovision,Shooter
Defenders of Ardania,Strategy
UFO: Extraterrestrials,Strategy
Handball 16,Sports
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,Adventure
NHL 08,Action
Vampire Saga: Welcome to Hell Lock,Adventure
Lemmings Revolution,Puzzle
Brain Training for Dummies,Misc
Heroes of the Storm,Strategy
Two Worlds,Role-Playing
Stolen,Action
Zumas Revenge!,Puzzle
Dawn of Fantasy,Strategy
Dungeons: Game of the Year Edition,Strategy
International Cricket Captain 2009,Sports
LEGO Marvels Avengers,Action
S\xc3\xa9bastien Loeb Rally Evo,Racing
Sniper Elite 3,Shooter
Tom Clancys Ghost Recon Advanced Warfighter 2,Shooter
Pride of Nations,Strategy
Port Royale 3,Simulation
Rome: Total War Anthology,Strategy
Gothic Fiction: Dark Saga,Misc
Victorian Mysteries: Woman in White,Strategy
Command & Conquer: Generals,Strategy
Fabled Legends: The Dark Piper,Action
Harry Potter and the Goblet of Fire,Action
Pirates of Black Cove,Adventure
X-Men Legends II: Rise of Apocalypse,Role-Playing
The Escapists,Action
Chronicles of Mystery: The Scorpio Ritual,Adventure
The Tiny Bang Story,Adventure
Painkiller: Hell & Damnation,Shooter
D-Day,Strategy
4 Play Collection: Treasure Hunters,Action
Dangerous Waters,Simulation
SimCity 3000 Unlimited,Simulation
Thief: The Dark Project,Action
Chainz Galaxy,Puzzle
Disney Universe,Action
Galactic Civilizations III,Strategy
The Adventures of Tintin: The Game,Action
PDC World Championship Darts 2008,Sports
Boulder Dash-XL,Action
The Sims 2: H&M Fashion Stuff,Simulation
NBA 2K10,Sports
Beyond the Legend - Mysteries of Olympus,Adventure
Neverwinter Nights 2: Storm of Zehir,Role-Playing
Child of Light,Role-Playing
Nancy Drew: Secret of the Scarlet Hand,Adventure
Age of Mythology: Gold Edition,Strategy
Beijing 2008,Sports
RailWorks 2: Train Simulator,Simulation
Tiger Woods PGA Tour 06,Sports
Hidden Expedition: The Crown of Solomon,Action
Lucius,Action
Dragons Dogma,Role-Playing
LEGO Batman 2: DC Super Heroes,Action
Haunted Hotel: Ancient Curse,Adventure
Spintires,Adventure
Shogun: Total War,Strategy
MotoGP 08,Racing
The Sims: Life Stories,Simulation
Sword of the Stars: Complete Collection,Strategy
Black & White 2: Battle of the Gods,Strategy
PES 2009: Pro Evolution Soccer,Sports
Summer Challenge: Athletics Tournament,Sports
Burn Zombie Burn!,Shooter
Dark Parables: The Little Mermaid and the Purple Tide,Adventure
Lionheart: Kings Crusade,Strategy
King Arthur Collection,Strategy
7 Wonders of the Ancient World,Puzzle
Deponia Doomsday,Adventure
Leisure Suit Larry: Box Office Bust,Adventure
The Ball,Shooter
Aliens versus Predator,Shooter
Mystic Gateways: The Celestial Quest,Action
Madden NFL 08,Sports
WRC 5: FIA World Rally Championship,Sports
naild,Racing
Cities XXL,Simulation
Jagged Alliance 2,Strategy
Heavens Hope,Adventure
Mad Max (2015),Action
Scratches,Adventure
MX vs. ATV Supercross Encore,Sports
Worms Crazy Golf,Sports
Dovetail Games Euro Fishing,Simulation
Warhammer: Mark of Chaos - Battle March,Strategy
Sonic Mega Collection Plus,Misc
Neopets Puzzle Adventure,Puzzle
Euro Truck Simulator 2: Scandinavia,Action
Ultimate Spider-Man,Action
Age of Empires,Strategy
Dark Fall 3: Lost Souls,Adventure
Disciples III: Resurrection,Strategy
Total War Collection,Misc
Devil May Cry 3: Dantes Awakening Special Edition,Action
Deep Black,Shooter
Jacqueline Wilsons Tracy Beaker: The Game,Misc
Europa Universalis III,Strategy
Universe at War: Earth Assault,Action
Twisted Lands: Insomniac,Adventure
Dungeon Siege II: Broken World,Role-Playing
Call of Duty,Shooter
The Mighty Quest for Epic Loot,Role-Playing
Monopoly Tycoon,Simulation
Mystery Case Files: Dire Grove,Adventure
Portal,Puzzle
Greed Corp,Strategy
Calvin Tuckers Redneck Jamboree,Misc
Dawn of Discovery: Venice,Simulation
National Geographic Challenge!,Misc
Challenge Me: Word Puzzles,Puzzle
Nancy Drew: The Phantom of Venice,Adventure
Stronghold Crusader 2,Strategy
The Spiderwick Chronicles,Action
Jewel Quest 6: The Sapphire Dragon,Puzzle
Medieval: Total War Gold Edition,Strategy
Tom Clancys Splinter Cell,Action
Elixir of Imortality,Misc
Back to the Future: The Game,Adventure
Blacksite: Area 51,Shooter
Virtua Tennis 2009,Sports
BC Kings,Strategy
CivCity: Rome,Strategy
CSI: 3 Dimensions of Murder,Adventure
